Time (UTC),(cms)
2014-07-02,27.19
2014-07-03,28.95
2014-07-04,29.1
2014-07-05,27.33
2014-07-06,28.13
2014-07-07,29.64
2014-07-08,32.72
2014-07-09,32.79
2014-07-10,26.55
2014-07-11,24.82
2014-07-12,23.08
2014-07-13,20.16
2014-07-14,20.61
2014-07-15,20.68
2014-07-16,17.74
2014-07-17,18.32
2014-07-18,18.26
2014-07-19,19.41
2014-07-20,18.77
2014-07-21,15.98
2014-07-22,10.59
2014-07-23,12.73
2014-07-24,17.3
2014-07-25,14.17
2014-07-26,13.96
2014-07-27,11.28
2014-07-28,12.54
2014-07-29,10.92
2014-07-30,18.32
2014-07-31,9.23
2014-08-01,11.92
2014-08-02,19.93
2014-08-03,18.32
2014-08-04,12.98
2014-08-05,12.78
2014-08-06,12.21
2014-08-07,10.79
2014-08-08,7.75
2014-08-09,12.74
2014-08-10,
2014-08-11,15.8
2014-08-12,8.51
2014-08-13,10.76
2014-08-14,11.68
2014-08-15,9.92
2014-08-16,8.66
2014-08-17,8.62
2014-08-18,7.13
2014-08-19,9.76
2014-08-20,5.37
2014-08-21,5.67
2014-08-22,9.11
2014-08-23,8.41
2014-08-24,8.17
2014-08-25,7.58
2014-08-26,7.41
2014-08-27,7.52
2014-08-28,7.52
2014-08-29,7.69
2014-08-30,7.73
2014-08-31,7.43
2014-09-01,7.27
2014-09-02,6.87
2014-09-03,6.24
2014-09-04,6.91
2014-09-05,6.12
2014-09-06,6.58
2014-09-07,4.42
2014-09-08,6.85
2014-09-09,7.25
2014-09-10,6.23
2014-09-11,5.13
2014-09-12,4.32
2014-09-13,4.69
2014-09-14,2.89
2014-09-15,6.17
2014-09-16,4.91
2014-09-17,6.12
2014-09-18,6.34
2014-09-19,4.91
2014-09-20,6.23
2014-09-21,5.46
2014-09-22,5.07
2014-09-23,2.76
2014-09-24,2.44
2014-09-25,4.14
2014-09-26,5.05
2014-09-27,4.8
2014-09-28,4.91
2014-09-29,3.55
2014-09-30,5.32
2014-10-01,3.6
2014-10-02,5.1
2014-10-03,5.1
2014-10-04,4.99
2014-10-05,5.1
2014-10-06,4.96
2014-10-07,5.07
2014-10-08,4.67
2014-10-09,4.91
2014-10-10,6.99
2014-10-11,7.72
2014-10-12,7.5
2014-10-13,15.32
2014-10-14,9.73
2014-10-15,7.16
2014-10-16,6.37
2014-10-17,6.16
2014-10-18,6.71
2014-10-19,6.61
2014-10-20,5.16
2014-10-21,4.11
2014-10-22,5.07
2014-10-23,4.69
2014-10-24,4.42
2014-10-25,4.26
2014-10-26,4.32
2014-10-27,4.53
2014-10-28,4.32
2014-10-29,4.32
2014-10-30,4.32
2014-10-31,4.21
2014-11-01,4.26
2014-11-02,4.16
2014-11-03,4.26
2014-11-04,4.58
2014-11-05,4.53
2014-11-06,4.37
2014-11-07,4.37
2014-11-08,4.42
2014-11-09,4.37
2014-11-10,2.72
2014-11-11,4.42
2014-11-12,4.42
2014-11-13,2.76
2014-11-14,3.1
2014-11-15,8.98
2014-11-16,6.36
2014-11-17,6.59
2014-11-18,6.59
2014-11-19,4.64
2014-11-20,4.37
2014-11-21,5.35
2014-11-22,5.13
2014-11-23,4.85
2014-11-24,5.52
2014-11-25,5.46
2014-11-26,5.35
2014-11-27,4.91
2014-11-28,7.31
2014-11-29,7.63
2014-11-30,14.25
2014-12-01,20.58
2014-12-02,13.11
2014-12-03,13.37
2014-12-04,9.01
2014-12-05,7.39
2014-12-06,6.81
2014-12-07,6.51
2014-12-08,7.15
2014-12-09,6.46
2014-12-10,6.25
2014-12-11,6.74
2014-12-12,6.3
2014-12-13,6.08
2014-12-14,6.57
2014-12-15,6.23
2014-12-16,6
2014-12-17,7.76
2014-12-18,7.92
2014-12-19,9.39
2014-12-20,8.62
2014-12-21,7.69
2014-12-22,7.32
2014-12-23,7.15
2014-12-24,6.45
2014-12-25,6.79
2014-12-26,6.39
2014-12-27,6.4
2014-12-28,6.8
2014-12-29,6.8
2014-12-30,6.23
2014-12-31,5.24
2015-01-01,5.95
2015-01-02,5.85
2015-01-03,5.85
2015-01-04,6.08
2015-01-05,5.01
2015-01-06,5.5
2015-01-07,5.46
2015-01-08,5.46
2015-01-09,5.07
2015-01-10,5.46
2015-01-11,5.89
2015-01-12,5.95
2015-01-13,5.91
2015-01-14,5.57
2015-01-15,5.67
2015-01-16,4.78
2015-01-17,5.78
2015-01-18,4.41
2015-01-19,5.22
2015-01-20,5.56
2015-01-21,5.18
2015-01-22,4.58
2015-01-23,4.75
2015-01-24,4.69
2015-01-25,4.96
2015-01-26,4.58
2015-01-27,4.8
2015-01-28,3.95
2015-01-29,5.05
2015-01-30,6.22
2015-01-31,4.73
2015-02-01,3.85
2015-02-02,5.29
2015-02-03,5.46
2015-02-04,5.18
2015-02-05,5.24
2015-02-06,4.96
2015-02-07,4.69
2015-02-08,4.8
2015-02-09,4.42
2015-02-10,4.96
2015-02-11,4.96
2015-02-12,5.16
2015-02-13,4.95
2015-02-14,5.39
2015-02-15,4.78
2015-02-16,5.89
2015-02-17,5.22
2015-02-18,5.44
2015-02-19,5.78
2015-02-20,5.44
2015-02-21,5.9
2015-02-22,6.06
2015-02-23,6.18
2015-02-24,6.61
2015-02-25,6.61
2015-02-26,12.63
2015-02-27,18.85
2015-02-28,14.61
2015-03-01,13.14
2015-03-02,16.41
2015-03-03,20.23
2015-03-04,20.61
2015-03-05,16.93
2015-03-06,14.55
2015-03-07,13.22
2015-03-08,13.08
2015-03-09,12.74
2015-03-10,13.02
2015-03-11,12.93
2015-03-12,13.7
2015-03-13,14.89
2015-03-14,14.02
2015-03-15,12.49
2015-03-16,10.96
2015-03-17,7.54
2015-03-18,8.92
2015-03-19,8.99
2015-03-20,8.48
2015-03-21,9.4
2015-03-22,9.4
2015-03-23,9.62
2015-03-24,9.28
2015-03-25,9.43
2015-03-26,9.26
2015-03-27,9.14
2015-03-28,10.08
2015-03-29,7.11
2015-03-30,6.37
2015-03-31,5.68
2015-04-01,26.47
2015-04-02,24.69
2015-04-03,23.88
2015-04-04,21.56
2015-04-05,21.86
2015-04-06,16.59
2015-04-07,15.89
2015-04-08,16.06
2015-04-09,14.81
2015-04-10,16.11
2015-04-11,15.54
2015-04-12,19.01
2015-04-13,7.34
2015-04-14,24.76
2015-04-15,30.07
2015-04-16,30.98
2015-04-17,32.94
2015-04-18,32.72
2015-04-19,36.44
2015-04-20,30.98
2015-04-21,29.87
