date,station,precipitation
2012-01-01,Arties,1
2012-01-02,Arties,4.8
2012-01-03,Arties,0
2012-01-04,Arties,3
2012-01-05,Arties,4
2012-01-06,Arties,2
2012-01-07,Arties,0
2012-01-08,Arties,0
2012-01-09,Arties,0
2012-01-10,Arties,0
2012-01-11,Arties,0
2012-01-12,Arties,0
2012-01-13,Arties,0
2012-01-14,Arties,0
2012-01-15,Arties,0
2012-01-16,Arties,0
2012-01-17,Arties,0
2012-01-18,Arties,0
2012-01-19,Arties,0
2012-01-20,Arties,2.8
2012-01-21,Arties,0
2012-01-22,Arties,0
2012-01-23,Arties,0
2012-01-24,Arties,0
2012-01-25,Arties,0
2012-01-26,Arties,0
2012-01-27,Arties,0
2012-01-28,Arties,0.4
2012-01-29,Arties,0.2
2012-01-30,Arties,1.2
2012-01-31,Arties,10.4
2012-02-01,Arties,4
2012-02-02,Arties,0.6
2012-02-03,Arties,0
2012-02-04,Arties,0
2012-02-05,Arties,0.4
2012-02-06,Arties,1.2
2012-02-07,Arties,0.2
2012-02-08,Arties,1
2012-02-09,Arties,5.8
2012-02-10,Arties,3.8
2012-02-11,Arties,0
2012-02-12,Arties,0
2012-02-13,Arties,0
2012-02-14,Arties,1
2012-02-15,Arties,11.8
2012-02-16,Arties,6.6
2012-02-17,Arties,8.2
2012-02-18,Arties,0
2012-02-19,Arties,0.2
2012-02-20,Arties,0
2012-02-21,Arties,0
2012-02-22,Arties,0
2012-02-23,Arties,0
2012-02-24,Arties,0
2012-02-25,Arties,0
2012-02-26,Arties,0
2012-02-27,Arties,0
2012-02-28,Arties,0
2012-02-29,Arties,0
2012-03-01,Arties,0
2012-03-02,Arties,0
2012-03-03,Arties,5.8
2012-03-04,Arties,2.6
2012-03-05,Arties,0.2
2012-03-06,Arties,0.8
2012-03-07,Arties,0
2012-03-08,Arties,4.6
2012-03-09,Arties,0
2012-03-10,Arties,0
2012-03-11,Arties,0
2012-03-12,Arties,0
2012-03-13,Arties,0
2012-03-14,Arties,0
2012-03-15,Arties,0
2012-03-16,Arties,0
2012-03-17,Arties,0
2012-03-18,Arties,2.6
2012-03-19,Arties,0.4
2012-03-20,Arties,0.4
2012-03-21,Arties,41.2
2012-03-22,Arties,20.4
2012-03-23,Arties,1.4
2012-03-24,Arties,0
2012-03-25,Arties,0
2012-03-26,Arties,0
2012-03-27,Arties,0
2012-03-28,Arties,0
2012-03-29,Arties,0
2012-03-30,Arties,0
2012-03-31,Arties,0
2012-04-01,Arties,2
2012-04-02,Arties,1.8
2012-04-03,Arties,4.4
2012-04-04,Arties,1.2
2012-04-05,Arties,1.4
2012-04-06,Arties,0.4
2012-04-07,Arties,4
2012-04-08,Arties,1.8
2012-04-09,Arties,0
2012-04-10,Arties,10
2012-04-11,Arties,3.4
2012-04-12,Arties,2.4
2012-04-13,Arties,0.2
2012-04-14,Arties,1.6
2012-04-15,Arties,8
2012-04-16,Arties,17
2012-04-17,Arties,0.6
2012-04-18,Arties,1.8
2012-04-19,Arties,3.6
2012-04-20,Arties,0
2012-04-21,Arties,0.8
2012-04-22,Arties,0.2
2012-04-23,Arties,2.8
2012-04-24,Arties,3.6
2012-04-25,Arties,0
2012-04-26,Arties,0.2
2012-04-27,Arties,8.8
2012-04-28,Arties,22.2
2012-04-29,Arties,3.2
2012-04-30,Arties,16.2
2012-05-01,Arties,0
2012-05-02,Arties,0
2012-05-03,Arties,0
2012-05-04,Arties,3.4
2012-05-05,Arties,0
2012-05-06,Arties,0
2012-05-07,Arties,0
2012-05-08,Arties,0
2012-05-09,Arties,0.6
2012-05-10,Arties,0
2012-05-11,Arties,1.6
2012-05-12,Arties,0
2012-05-13,Arties,1.6
2012-05-14,Arties,0.2
2012-05-15,Arties,0
2012-05-16,Arties,0
2012-05-17,Arties,0.8
2012-05-18,Arties,0.8
2012-05-19,Arties,8.6
2012-05-20,Arties,13.6
2012-05-21,Arties,24.6
2012-05-22,Arties,16.4
2012-05-23,Arties,0
2012-05-24,Arties,0
2012-05-25,Arties,0
2012-05-26,Arties,0
2012-05-27,Arties,7.2
2012-05-28,Arties,0
2012-05-29,Arties,0
2012-05-30,Arties,0
2012-05-31,Arties,0
2012-06-01,Arties,0
2012-06-02,Arties,2.8
2012-06-03,Arties,6.6
2012-06-04,Arties,0
2012-06-05,Arties,0
2012-06-06,Arties,0
2012-06-07,Arties,4.4
2012-06-08,Arties,0
2012-06-09,Arties,0
2012-06-10,Arties,1.6
2012-06-11,Arties,4.2
2012-06-12,Arties,1.4
2012-06-13,Arties,0
2012-06-14,Arties,0
2012-06-15,Arties,0
2012-06-16,Arties,0
2012-06-17,Arties,0
2012-06-18,Arties,2.2
2012-06-19,Arties,18
2012-06-20,Arties,3.2
2012-06-21,Arties,0
2012-06-22,Arties,0
2012-06-23,Arties,0
2012-06-24,Arties,0
2012-06-25,Arties,0
2012-06-26,Arties,0
2012-06-27,Arties,0
2012-06-28,Arties,0.8
2012-06-29,Arties,0
2012-06-30,Arties,0
2012-07-01,Arties,19
2012-07-02,Arties,0
2012-07-03,Arties,0
2012-07-04,Arties,17.6
2012-07-05,Arties,12.8
2012-07-06,Arties,0
2012-07-07,Arties,0
2012-07-08,Arties,0
2012-07-09,Arties,0
2012-07-10,Arties,0
2012-07-11,Arties,0
2012-07-12,Arties,0
2012-07-13,Arties,0
2012-07-14,Arties,0
2012-07-15,Arties,0
2012-07-16,Arties,0
2012-07-17,Arties,0
2012-07-18,Arties,0
2012-07-19,Arties,0
2012-07-20,Arties,0
2012-07-21,Arties,0
2012-07-22,Arties,0
2012-07-23,Arties,0
2012-07-24,Arties,0
2012-07-25,Arties,0.2
2012-07-26,Arties,0.8
2012-07-27,Arties,2.4
2012-07-28,Arties,8.6
2012-07-29,Arties,0
2012-07-30,Arties,0
2012-07-31,Arties,0
2012-08-01,Arties,0
2012-08-02,Arties,0
2012-08-03,Arties,0
2012-08-04,Arties,0
2012-08-05,Arties,29
2012-08-06,Arties,7.6
2012-08-07,Arties,0
2012-08-08,Arties,0
2012-08-09,Arties,0
2012-08-10,Arties,0
2012-08-11,Arties,0
2012-08-12,Arties,0
2012-08-13,Arties,0
2012-08-14,Arties,0
2012-08-15,Arties,0
2012-08-16,Arties,0
2012-08-17,Arties,0
2012-08-18,Arties,0
2012-08-19,Arties,0
2012-08-20,Arties,0
2012-08-21,Arties,0
2012-08-22,Arties,0
2012-08-23,Arties,0
2012-08-24,Arties,0
2012-08-25,Arties,0
2012-08-26,Arties,0
2012-08-27,Arties,0
2012-08-28,Arties,8
2012-08-29,Arties,1.2
2012-08-30,Arties,10
2012-08-31,Arties,0
2012-09-01,Arties,0
2012-09-02,Arties,0
2012-09-03,Arties,0
2012-09-04,Arties,0
2012-09-05,Arties,0
2012-09-06,Arties,0
2012-09-07,Arties,0
2012-09-08,Arties,0.4
2012-09-09,Arties,0
2012-09-10,Arties,0.2
2012-09-11,Arties,4.4
2012-09-12,Arties,0.2
2012-09-13,Arties,2.6
2012-09-14,Arties,0
2012-09-15,Arties,0
2012-09-16,Arties,0
2012-09-17,Arties,0
2012-09-18,Arties,3.2
2012-09-19,Arties,0.6
2012-09-20,Arties,0
2012-09-21,Arties,0
2012-09-22,Arties,0
2012-09-23,Arties,2
2012-09-24,Arties,9.4
2012-09-25,Arties,0.2
2012-09-26,Arties,7
2012-09-27,Arties,0
