index,Ks,Cmin,Cmax,phimin,phimax,h,dens,porosity,hsg
(),(m/s),(kPa),(kPa),(degree),(degree),(m),kg/m3,(m3/m3)     ,()
1,0.001,0,3,35,45,4,2000,0.3,A
2,0.000001,1,3,25,35,1.5,2000,0.3,B
3,0.00001,0,5,35,45,3,2000,0.35,A
4,0.00001,0,4,35,45,2,2000,0.3,A
5,0.00001,1,3,30,40,2,2000,0.3,A
6,0.000001,1,3,20,35,1.5,2000,0.3,B
7,0.000001,1,5,20,30,2,2000,0.3,B
8,0.000001,0,5,20,35,2,2000,0.3,B
9,0.0001,1,5,35,45,3,2000,0.35,A
10,0.01,0,3,40,50,3,2000,0.4,A
11,0.00001,0,5,30,40,2,2000,0.3,B
