index,Ks,Cmin,Cmax,phimin,phimax,h,dens,porosity,hsg
(),(m/s),(kPa),(kPa),(degree),(degree),(m),kg/m3,(m3/m3),()
1,1.00E-03,0,3,35,45,4,2000,0.3,A
2,1.00E-06,1,3,25,35,1.50,2000,0.3,B
3,1.00E-02,0,3,40,50,3,2000,0.4,A
4,1.00E-05,0,5,30,40,2.00,2000,0.3,A
5,1.00E-03,0,5,35,45,3,2000,0.35,A
6,1.00E-04,1,5,35,45,3,2000,0.35,B
7,1.00E-06,1,5,20,30,2,2000,0.3,B
8,1.00E-05,0,4,35,45,2.00,2000,0.3,B
9,1.00E-05,1,3,30,40,2.00,2000,0.3,A
10,1.00E-06,1,3,20,35,1.5,2000,0.3,A
11,1.00E-06,0,5,20,35,2,2000,0.3,B
