date,station,max_temperature,min_temperature,mean_temperature
2012-01-01,Airoto,8,0,4
2012-01-02,Airoto,2,-6,-2
2012-01-03,Airoto,3,-6,-1.5
2012-01-04,Airoto,2,-3,-0.5
2012-01-05,Airoto,3,-2,0.5
2012-01-06,Airoto,0,-7,-3.5
2012-01-07,Airoto,1,-5,-2
2012-01-08,Airoto,2,-3,-0.5
2012-01-09,Airoto,3,-2,0.5
2012-01-10,Airoto,6,2,4
2012-01-11,Airoto,10,0,5
2012-01-12,Airoto,12,0,6
2012-01-13,Airoto,5,0,2.5
2012-01-14,Airoto,12,-1,5.5
2012-01-15,Airoto,9,-4,2.5
2012-01-16,Airoto,5,-6,-0.5
2012-01-17,Airoto,5,-6,-0.5
2012-01-18,Airoto,-1,-3,-2
2012-01-19,Airoto,2,-1,0.5
2012-01-20,Airoto,-1,-3,-2
2012-01-21,Airoto,0,-4,-2
2012-01-22,Airoto,1,-2,-0.5
2012-01-23,Airoto,2,-1,0.5
2012-01-24,Airoto,1,-2,-0.5
2012-01-25,Airoto,13,0,6.5
2012-01-26,Airoto,8,-5,1.5
2012-01-27,Airoto,2,-7,-2.5
2012-01-28,Airoto,-7,-11,-9
2012-01-29,Airoto,-10,-12,-11
2012-01-30,Airoto,-6,-12,-9
2012-01-31,Airoto,-4,-9,-6.5
2012-02-01,Airoto,-3,-12,-7.5
2012-02-02,Airoto,-11,-17,-14
2012-02-03,Airoto,-15,-21,-18
2012-02-04,Airoto,-18,-21,-19.5
2012-02-05,Airoto,-6,-19,-12.5
2012-02-06,Airoto,-10,-15,-12.5
2012-02-07,Airoto,-13,-17,-15
2012-02-08,Airoto,-3,-15,-9
2012-02-09,Airoto,-4,-9,-6.5
2012-02-10,Airoto,-9,-17,-13
2012-02-11,Airoto,-15,-18,-16.5
2012-02-12,Airoto,-14,-19,-16.5
2012-02-13,Airoto,-11,-16,-13.5
2012-02-14,Airoto,-7,-12,-9.5
2012-02-15,Airoto,-5,-11,-8
2012-02-16,Airoto,-5,-9,-7
2012-02-17,Airoto,0,-6,-3
2012-02-18,Airoto,15,-3,6
2012-02-19,Airoto,-2,-10,-6
2012-02-20,Airoto,-7,-12,-9.5
2012-02-21,Airoto,0,-8,-4
2012-02-22,Airoto,0,-4,-2
2012-02-23,Airoto,2,-3,-0.5
2012-02-24,Airoto,13,0,6.5
2012-02-25,Airoto,6,2,4
2012-02-26,Airoto,2,-2,0
2012-02-27,Airoto,2,-1,0.5
2012-02-28,Airoto,13,0,6.5
2012-02-29,Airoto,1,0,0.5
2012-03-01,Airoto,14,0,7
2012-03-02,Airoto,5,-2,1.5
2012-03-03,Airoto,0,-3,-1.5
2012-03-04,Airoto,9,-7,1
2012-03-05,Airoto,-7,-11,-9
2012-03-06,Airoto,-8,-12,-10
2012-03-07,Airoto,0,-10,-5
2012-03-08,Airoto,-3.009,-8.499,-5.75
2012-03-09,Airoto,-3.868,-8.592,-6.23
2012-03-10,Airoto,1,-4,-1.5
2012-03-11,Airoto,5,-2,1.5
2012-03-12,Airoto,15,2,8.5
2012-03-13,Airoto,9,4,6.5
2012-03-14,Airoto,11,3,7
2012-03-15,Airoto,16,2,9
2012-03-16,Airoto,11,-1,5
2012-03-17,Airoto,11,-3,4
2012-03-18,Airoto,0,-7,-3.5
2012-03-19,Airoto,-2,-8,-5
2012-03-20,Airoto,-5,-9,-7
2012-03-21,Airoto,0,-6,-3
2012-03-22,Airoto,3,-4,-0.5
2012-03-23,Airoto,15,-5,5
2012-03-24,Airoto,17,-1,8
2012-03-25,Airoto,8,-1,3.5
2012-03-26,Airoto,19,-2,8.5
2012-03-27,Airoto,12,-2,5
2012-03-28,Airoto,6,0,3
